	(1)	(2)	(3)	(4)
	Col2	Col4	Col6	Col8
VARIABLES	LWKLYWGE	LWKLYWGE	LWKLYWGE	LWKLYWGE
				
EDUC	0.0553***	0.0948***	0.0393***	0.0779***
	(0.0138)	(0.0223)	(0.0145)	(0.0239)
YR20	0.250***	0.0819**	0.216***	0.0694**
	(0.00961)	(0.0343)	(0.00995)	(0.0332)
YR21	0.242***	0.0787***	0.209***	0.0661**
	(0.00842)	(0.0289)	(0.00870)	(0.0280)
YR22	0.230***	0.0726***	0.198***	0.0598**
	(0.00633)	(0.0253)	(0.00668)	(0.0244)
YR23	0.218***	0.0734***	0.189***	0.0612***
	(0.00582)	(0.0219)	(0.00610)	(0.0211)
YR24	0.182***	0.0540***	0.158***	0.0455**
	(0.00550)	(0.0190)	(0.00571)	(0.0183)
YR25	0.154***	0.0418**	0.135***	0.0353**
	(0.00437)	(0.0166)	(0.00439)	(0.0160)
YR26	0.121***	0.0292**	0.105***	0.0233*
	(0.00370)	(0.0137)	(0.00363)	(0.0132)
YR27	0.0852***	0.0176*	0.0736***	0.0135
	(0.00368)	(0.0104)	(0.00355)	(0.0100)
YR28	0.0403***	0.00566	0.0351***	0.00412
	(0.00365)	(0.00638)	(0.00356)	(0.00617)
1.RACE			-0.227***	-0.179***
			(0.0183)	(0.0299)
1.MARRIED			0.244***	0.245***
			(0.00223)	(0.00229)
1.SMSA			-0.154***	-0.118***
			(0.0135)	(0.0220)
1.NEWENG			-0.0967***	-0.0842***
			(0.00643)	(0.00894)
1.MIDATL			-0.0204***	-0.00199
			(0.00765)	(0.0119)
1.ENOCENT			0.0327***	0.0636***
			(0.0120)	(0.0193)
1.WNOCENT			-0.0755***	-0.0591***
			(0.00731)	(0.0109)
1.SOATL			-0.116***	-0.0835***
			(0.0125)	(0.0202)
1.ESOCENT			-0.136***	-0.0882***
			(0.0185)	(0.0299)
1.WSOCENT			-0.0666***	-0.0414***
			(0.0101)	(0.0159)
1.MT			-0.0679***	-0.0667***
			(0.00452)	(0.00458)
AGEQ		0.133***		0.121**
		(0.0486)		(0.0474)
AGEQSQ		-0.00158**		-0.00146**
		(0.000725)		(0.000709)
Constant	4.907***	1.789**	5.041***	2.125***
	(0.189)	(0.695)	(0.212)	(0.665)
				
Observations	486,926	486,926	486,926	486,926
R-squared	0.083	0.053	0.126	0.116
Standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
